STU_CODE,NAME,Time_Sport_P0,Time_Sport_P1,Time_Sport_P2,Time_Sport_P3,Time_Sport_P4,Time_Sport_P5,Time_Sport_P6,Time_Life_P0,Time_Life_P1,Time_Life_P2,Time_Life_P3,Time_Life_P4,Time_Life_P5,Time_Life_P6,Time_Life_P7,Revise_Sport_P1,Revise_Sport_P2,Revise_Sport_P3,Revise_Sport_P4,Revise_Sport_P5,Revise_Sport_P6,Revise_Life_P1,Revise_Life_P2,Revise_Life_P3,Revise_Life_P4,Revise_Life_P5,Revise_Life_P6,Revise_Life_P7,Repeat_Sport_P1,Repeat_Sport_P2,Repeat_Sport_P3,Repeat_Sport_P4,Repeat_Sport_P5,Repeat_Sport_P6,Repeat_Life_P1,Repeat_Life_P2,Repeat_Life_P3,Repeat_Life_P4,Repeat_Life_P5,Repeat_Life_P6,Repeat_Life_P7,Before_Sport_P1,Before_Sport_P2,Before_Sport_P3,Before_Sport_P4,Before_Sport_P5,Before_Sport_P6,Before_Life_P1,Before_Life_P2,Before_Life_P3,Before_Life_P4,Before_Life_P5,Before_Life_P6,Before_Life_P7,After_Sport_P1,After_Sport_P2,After_Sport_P3,After_Sport_P4,After_Sport_P5,After_Sport_P6,After_Life_P1,After_Life_P2,After_Life_P3,After_Life_P4,After_Life_P5,After_Life_P6,After_Life_P7,AR_Sport_P1,AR_Sport_P2,AR_Sport_P3,AR_Sport_P4,AR_Sport_P5,AR_Sport_P6,AR_Life_P1,AR_Life_P2,AR_Life_P3,AR_Life_P4,AR_Life_P5,AR_Life_P6,AR_Life_P7
95060200551,name,2.0,5.0,2.0,1.0,5.0,22.0,4.0,2.0,8.0,2.0,3.0,10.0,6.0,6.0,6.0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,3,0,0,0,0,0,0,0,0,2,2,2,0
95060201001,name,4.0,8.0,2.0,0.0,1.0,13.0,4.0,1.0,5.0,0.0,1.0,4.0,2.0,2.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,7.0,0,0,0,0,0,0,0,0,0,2,2,2,0
95060201021,name,2.0,13.0,1.0,1.0,0.0,18.0,2.0,3.0,18.0,1.0,1.0,13.0,2.0,12.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,0.0,3.0,2.0,5.0,1.0,1.0,3.0,1.0,1.0,3.0,0,0,0,0,0,0,0,0,0,2,2,2,0
95060200991,name,9.0,8.0,2.0,1.0,1.0,9.0,3.0,5.0,6.0,1.0,0.0,5.0,4.0,9.0,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0,0,0,0,0,0,0,0,0,2,2,2,0
95060201501,name,1.0,138.0,0.0,1.0,1.0,8.0,1.0,0.0,6.0,0.0,1.0,4.0,3.0,3.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,2,2,2,0
95060200561,name,35.0,65.0,18.0,40.0,150.0,101.0,20.0,35.0,33.0,39.0,85.0,61.0,62.0,32.0,34.0,0,5,18,1,1,4,2,2,4,0,1,0,4,1,2,7,6,1,1,3,3,1,3,3,1,1,57.0,13.0,4.0,35.0,17.0,4.0,17.0,26.0,75.0,16.0,31.0,12.0,16.0,4.0,2.0,2.0,9.0,28.0,14.0,4.0,3.0,1.0,2.0,5.0,8.0,7.0,0,0,0,0,0,0,0,0,0,2,2,2,0
95060200571,name,1.0,13.0,3.0,1.0,10.0,19.0,4.0,21.0,21.0,2.0,3.0,14.0,62.0,6.0,5.0,0,1,0,1,1,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,2,3,2,2,1,1,3.0,2.0,1.0,2.0,6.0,1.0,8.0,1.0,1.0,5.0,3.0,2.0,2.0,5.0,1.0,1.0,4.0,2.0,4.0,3.0,1.0,1.0,2.0,55.0,3.0,3.0,0,0,0,0,0,0,0,0,0,2,2,2,0
95060201011,name,45.0,35.0,35.0,24.0,136.0,58.0,19.0,24.0,25.0,32.0,88.0,340.0,95.0,33.0,33.0,0,1,3,0,0,1,1,2,3,0,0,0,0,1,1,3,2,2,2,2,3,4,4,3,2,1,16.0,34.0,17.0,5.0,23.0,1.0,6.0,25.0,72.0,63.0,37.0,1.0,23.0,8.0,2.0,2.0,8.0,2.0,16.0,5.0,3.0,3.0,57.0,7.0,11.0,7.0,0,0,0,0,0,0,0,0,0,2,2,2,0
95060201061,name,110.0,26.0,15.0,13.0,61.0,20.0,9.0,4.0,25.0,71.0,94.0,16.0,6.0,5.0,9.0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,12.0,12.0,9.0,27.0,6.0,2.0,10.0,63.0,33.0,10.0,2.0,2.0,2.0,2.0,4.0,5.0,2.0,2.0,3.0,3.0,9.0,7.0,3.0,2.0,2.0,4.0,0,0,0,0,0,0,0,0,0,2,2,2,0
95060200511,name,38.0,35.0,14.0,37.0,124.0,44.0,9.0,15.0,17.0,10.0,37.0,93.0,28.0,5.0,40.0,1,0,18,0,1,0,1,0,0,0,0,0,0,1,1,8,8,1,1,1,1,1,1,1,1,1,28.0,13.0,7.0,19.0,13.0,5.0,9.0,10.0,37.0,18.0,24.0,3.0,25.0,1.0,2.0,2.0,9.0,3.0,5.0,0.0,1.0,1.0,3.0,1.0,1.0,4.0,0,0,0,0,0,0,0,0,0,2,2,2,0
95060200601,name,4.0,6.0,2.0,12.0,3.0,10.0,3.0,381658.0,1118895.436,7.0,1.0,5.0,42541.0,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,-5,1,1,1,1,1,1,2,1,1,1,1,0,0,2.0,1.0,12.0,1.0,4.0,1.0,3.0,1.0,1.0,2.0,-1,-1,-1,1.0,2.0,1.0,2.0,1.0,3.0,1.0,7.0,1.0,1.0,42543.0,-1,-1,0,0,0,0,0,0,-1,-1,-1,2,2,2,-1
95060200591,name,3.0,8.0,1.0,1.0,0.0,8.0,3.0,1.0,8.0,1.0,3.0,4.0,636.0,6.0,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,633.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,0,0,0,0,0,0,0,0,0,2,2,2,0
95060200581,name,7.0,6.0,2.0,0.0,4.0,8.0,2.0,3.0,5.0,0.0,1.0,4.0,509208.0,42.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,1,1,2,1,1,1,1,1,2,3,1,0,4.0,1.0,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,-1,1.0,2.0,4.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,-1,-1,0,0,0,0,0,0,-1,-1,-1,2,2,2,-1
95060200781,name,12.0,37.0,7.0,3.0,8.0,30.0,12.0,8.0,18.0,5.0,7.0,10.0,7.0,5.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,6.0,6.0,3.0,4.0,2.0,5.0,4.0,3.0,6.0,2.0,3.0,2.0,5.0,22.0,2.0,1.0,2.0,3.0,8.0,6.0,3.0,2.0,2.0,3.0,2.0,5.0,0,0,0,0,0,0,0,0,0,2,2,2,0
